year,as_of,table,coverage_pct,pit_certifying,has_matching_stock_list_denominator,note
2024,20240131,derived_financial_cache,,False,True,Derived A-short financial cache omits ann_date/end_date and cannot certify A-long PIT fundamentals.
2024,20240229,derived_financial_cache,,False,True,Derived A-short financial cache omits ann_date/end_date and cannot certify A-long PIT fundamentals.
2024,20240329,derived_financial_cache,,False,True,Derived A-short financial cache omits ann_date/end_date and cannot certify A-long PIT fundamentals.
2024,20240430,derived_financial_cache,,False,True,Derived A-short financial cache omits ann_date/end_date and cannot certify A-long PIT fundamentals.
2024,20240531,derived_financial_cache,,False,True,Derived A-short financial cache omits ann_date/end_date and cannot certify A-long PIT fundamentals.
2024,20240628,derived_financial_cache,,False,True,Derived A-short financial cache omits ann_date/end_date and cannot certify A-long PIT fundamentals.
2024,20240731,derived_financial_cache,,False,True,Derived A-short financial cache omits ann_date/end_date and cannot certify A-long PIT fundamentals.
2024,20240830,derived_financial_cache,,False,True,Derived A-short financial cache omits ann_date/end_date and cannot certify A-long PIT fundamentals.
2024,20240930,derived_financial_cache,,False,True,Derived A-short financial cache omits ann_date/end_date and cannot certify A-long PIT fundamentals.
2024,20241031,derived_financial_cache,,False,True,Derived A-short financial cache omits ann_date/end_date and cannot certify A-long PIT fundamentals.
2024,20241129,derived_financial_cache,,False,True,Derived A-short financial cache omits ann_date/end_date and cannot certify A-long PIT fundamentals.
2024,20241231,derived_financial_cache,,False,True,Derived A-short financial cache omits ann_date/end_date and cannot certify A-long PIT fundamentals.
2025,20250127,derived_financial_cache,,False,True,Derived A-short financial cache omits ann_date/end_date and cannot certify A-long PIT fundamentals.
2025,20250228,derived_financial_cache,,False,True,Derived A-short financial cache omits ann_date/end_date and cannot certify A-long PIT fundamentals.
2025,20250331,derived_financial_cache,,False,True,Derived A-short financial cache omits ann_date/end_date and cannot certify A-long PIT fundamentals.
2025,20250430,derived_financial_cache,,False,True,Derived A-short financial cache omits ann_date/end_date and cannot certify A-long PIT fundamentals.
2025,20250530,derived_financial_cache,,False,True,Derived A-short financial cache omits ann_date/end_date and cannot certify A-long PIT fundamentals.
2025,20250630,derived_financial_cache,,False,True,Derived A-short financial cache omits ann_date/end_date and cannot certify A-long PIT fundamentals.
2025,20250731,derived_financial_cache,,False,True,Derived A-short financial cache omits ann_date/end_date and cannot certify A-long PIT fundamentals.
2025,20250829,derived_financial_cache,,False,True,Derived A-short financial cache omits ann_date/end_date and cannot certify A-long PIT fundamentals.
2025,20250930,derived_financial_cache,,False,True,Derived A-short financial cache omits ann_date/end_date and cannot certify A-long PIT fundamentals.
2025,20251031,derived_financial_cache,,False,True,Derived A-short financial cache omits ann_date/end_date and cannot certify A-long PIT fundamentals.
2025,20251128,derived_financial_cache,,False,True,Derived A-short financial cache omits ann_date/end_date and cannot certify A-long PIT fundamentals.
2025,20251231,derived_financial_cache,,False,True,Derived A-short financial cache omits ann_date/end_date and cannot certify A-long PIT fundamentals.
2026,20260515,derived_financial_cache,,False,True,Derived A-short financial cache omits ann_date/end_date and cannot certify A-long PIT fundamentals.
2026,20260521,derived_financial_cache,,False,False,Derived A-short financial cache omits ann_date/end_date and cannot certify A-long PIT fundamentals.
2026,20260522,derived_financial_cache,,False,True,Derived A-short financial cache omits ann_date/end_date and cannot certify A-long PIT fundamentals.
2026,20260529,derived_financial_cache,,False,True,Derived A-short financial cache omits ann_date/end_date and cannot certify A-long PIT fundamentals.
